"Category","Subcategory","KEGGID","Description","GeneRatio","BgRatio","pvalue","padj","qvalue","geneID","Gene_symbol","Count"
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","5/33","105/9376",2.96039607303744e-05,0.00259889372348319,0.00173105023508842,"26253/3553/1432/4792/5580","CLEC4E/IL1B/MAPK14/NFKBIA/PRKCD",5
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","3/33","18/9376",3.1271846042999e-05,0.00259889372348319,0.00173105023508842,"2181/2182/2194","ACSL3/ACSL4/FASN",3
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","4/33","57/9376",4.4049046160732e-05,0.00259889372348319,0.00173105023508842,"2181/2182/3992/2194","ACSL3/ACSL4/FADS1/FASN",4
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","6/33","205/9376",6.868405896497e-05,0.00303926960919992,0.0020243722642307,"9377/1349/1350/1432/5501/5580","COX5A/COX7B/COX7C/MAPK14/PPP1CC/PRKCD",6
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","6/33","227/9376",0.000120726962420918,0.00369197889271836,0.00245912361572677,"9377/1349/1350/1432/4792/5580","COX5A/COX7B/COX7C/MAPK14/NFKBIA/PRKCD",6
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","5/33","144/9376",0.000133780140035983,0.00369197889271836,0.00245912361572677,"2194/3553/23643/1432/4792","FASN/IL1B/LY96/MAPK14/NFKBIA",5
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","6/33","235/9376",0.000146010464683777,0.00369197889271836,0.00245912361572677,"2181/2182/9377/1349/1350/1432","ACSL3/ACSL4/COX5A/COX7B/COX7C/MAPK14",6
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","5/33","157/9376",0.000200686168281947,0.00444018147323807,0.00295748037468132,"9377/1349/1350/3553/1432","COX5A/COX7B/COX7C/IL1B/MAPK14",5
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","4/33","94/9376",0.000310298759460784,0.00602272250531219,0.0040115665809989,"3553/3934/1432/4792","IL1B/LCN2/MAPK14/NFKBIA",4
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","6/33","275/9376",0.000342535048075381,0.00602272250531219,0.0040115665809989,"9377/1349/1350/3553/1432/5580","COX5A/COX7B/COX7C/IL1B/MAPK14/PRKCD",6
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","4/33","99/9376",0.000378330537517454,0.00602272250531219,0.0040115665809989,"3553/1432/5501/5580","IL1B/MAPK14/PPP1CC/PRKCD",4
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","4/33","101/9376",0.000408320169851674,0.00602272250531219,0.0040115665809989,"3553/1432/5292/5580","IL1B/MAPK14/PIM1/PRKCD",4
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","4/33","109/9376",0.000545460378357651,0.00643643246462028,0.0042871271842847,"3553/23643/1432/4792","IL1B/LY96/MAPK14/NFKBIA",4
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","4/33","109/9376",0.000545460378357651,0.00643643246462028,0.0042871271842847,"3553/1432/4792/6095","IL1B/MAPK14/NFKBIA/RORA",4
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","4/33","109/9376",0.000545460378357651,0.00643643246462028,0.0042871271842847,"4792/5501/5580/5836","NFKBIA/PPP1CC/PRKCD/PYGL",4
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","4/33","112/9376",0.000604450639177115,0.00668673519589683,0.00445384681498927,"240/23643/1432/4792","ALOX5/LY96/MAPK14/NFKBIA",4
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","5/33","248/9376",0.00160983211072993,0.016761193152894,0.0111641607679104,"3553/23643/1432/4609/4792","IL1B/LY96/MAPK14/MYC/NFKBIA",5
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","3/33","70/9376",0.0018520971923708,0.0182122890583128,0.0121306950611421,"2181/2182/4792","ACSL3/ACSL4/NFKBIA",3
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","3/33","78/9376",0.00252524524593852,0.0223484204265559,0.014885656186585,"3553/23643/1432","IL1B/LY96/MAPK14",3
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","3/33","78/9376",0.00252524524593852,0.0223484204265559,0.014885656186585,"3553/1432/4792","IL1B/MAPK14/NFKBIA",3
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","3/33","87/9376",0.00344355599216846,0.029024257648277,0.0193322441665598,"9377/1349/1350","COX5A/COX7B/COX7C",3
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","4/33","187/9376",0.00398897980281708,0.0320931556863011,0.021376351096436,"3553/1432/4792/5580","IL1B/MAPK14/NFKBIA/PRKCD",4
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","3/33","103/9376",0.00553036176274101,0.0420153539244853,0.0279852491200854,"3553/1432/4792","IL1B/MAPK14/NFKBIA",3
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","3/33","105/9376",0.00583424056390529,0.0420153539244853,0.0279852491200854,"3553/23643/4792","IL1B/LY96/NFKBIA",3
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","6/33","480/9376",0.00593437202323239,0.0420153539244853,0.0279852491200854,"9377/1349/1350/3553/1432/10280","COX5A/COX7B/COX7C/IL1B/MAPK14/SIGMAR1",6
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","4/33","216/9376",0.00663944813573644,0.045199320000975,0.0301059996438251,"3553/23643/1432/4792","IL1B/LY96/MAPK14/NFKBIA",4
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","4/33","227/9376",0.00789284486844979,0.0512883249103787,0.0341617150756017,"3553/1432/4609/4792","IL1B/MAPK14/MYC/NFKBIA",4
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","3/33","119/9376",0.00824247704257898,0.0512883249103787,0.0341617150756017,"3553/1432/4792","IL1B/MAPK14/NFKBIA",3
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","3/33","120/9376",0.00843372522381139,0.0512883249103787,0.0341617150756017,"1432/4792/5580","MAPK14/NFKBIA/PRKCD",3
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","5/33","368/9376",0.00869293642548792,0.0512883249103787,0.0341617150756017,"9377/1349/1350/1432/10280","COX5A/COX7B/COX7C/MAPK14/SIGMAR1",5
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/33","42/9376",0.00947295856242682,0.0540875375983725,0.0360261921559187,"2181/2182","ACSL3/ACSL4",2
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","2/33","43/9376",0.00991332610656475,0.0548330850269363,0.036522780392607,"2181/2182","ACSL3/ACSL4",2
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","4/33","253/9376",0.0114547108432211,0.0606217994107888,0.0403784807255923,"3553/1432/4792/5580","IL1B/MAPK14/NFKBIA/PRKCD",4
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","3/33","138/9376",0.0123298575072791,0.0606217994107888,0.0403784807255923,"9377/1349/1350","COX5A/COX7B/COX7C",3
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","3/33","138/9376",0.0123298575072791,0.0606217994107888,0.0403784807255923,"2194/5501/5836","FASN/PPP1CC/PYGL",3
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","3/33","138/9376",0.0123298575072791,0.0606217994107888,0.0403784807255923,"3553/1432/4792","IL1B/MAPK14/NFKBIA",3
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","3/33","142/9376",0.0133146038558761,0.0620180232234228,0.0413084662564577,"3553/1432/4792","IL1B/MAPK14/NFKBIA",3
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","3/33","142/9376",0.0133146038558761,0.0620180232234228,0.0413084662564577,"2950/3553/1432","GSTP1/IL1B/MAPK14",3
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","2/33","56/9376",0.0164327163043665,0.0731629380997631,0.0487317815472701,"3553/4792","IL1B/NFKBIA",2
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","3/33","154/9376",0.0165339973106809,0.0731629380997631,0.0487317815472701,"154/1432/5501","ADRB2/MAPK14/PPP1CC",3
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","3/33","157/9376",0.0174015399112337,0.0733350610544848,0.0488464278210068,"240/383/1432","ALOX5/ARG1/MAPK14",3
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","3/33","157/9376",0.0174015399112337,0.0733350610544848,0.0488464278210068,"1432/4609/5501","MAPK14/MYC/PPP1CC",3
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","3/33","163/9376",0.0192124256474594,0.0790837055721003,0.0526754387396683,"1432/4609/4792","MAPK14/MYC/NFKBIA",3
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","2/33","66/9376",0.0223946458770033,0.0900875527324905,0.0600047927804873,"3553/6095","IL1B/RORA",2
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","2/33","68/9376",0.0236798356811961,0.0927026501476989,0.0617466358402752,"4609/5292","MYC/PIM1",2
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","2/33","69/9376",0.0243336527229079,0.0927026501476989,0.0617466358402752,"240/1432","ALOX5/MAPK14",2
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","3/33","180/9376",0.024895165920759,0.0927026501476989,0.0617466358402752,"3553/4792/5501","IL1B/NFKBIA/PPP1CC",3
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","3/33","181/9376",0.0252549233884913,0.0927026501476989,0.0617466358402752,"26253/3553/1432","CLEC4E/IL1B/MAPK14",3
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","2/33","71/9376",0.0256634455211144,0.0927026501476989,0.0617466358402752,"1432/4792","MAPK14/NFKBIA",2
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","2/33","72/9376",0.0263393079154087,0.093241150020547,0.0621053155058059,"1432/4792","MAPK14/NFKBIA",2
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","2/33","75/9376",0.0284100849048338,0.0985997064344233,0.0656744996768088,"2950/7153","GSTP1/TOP2A",2
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","2/33","76/9376",0.0291145548879509,0.0991014656762942,0.0660087074382691,"2181/2182","ACSL3/ACSL4",2
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","2/33","77/9376",0.029826038261122,0.0996077126833698,0.0663459043742933,"4609/4792","MYC/NFKBIA",2
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","3/33","196/9376",0.0309908853510072,0.10158123531719,0.067660412462238,"1432/4609/4792","MAPK14/MYC/NFKBIA",3
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","3/33","200/9376",0.0326277516629368,0.104211175881521,0.0694121421274476,"3553/1432/4792","IL1B/MAPK14/NFKBIA",3
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","2/33","83/9376",0.0342391679777262,0.104211175881521,0.0694121421274476,"2181/2182","ACSL3/ACSL4",2
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","2/33","83/9376",0.0342391679777262,0.104211175881521,0.0694121421274476,"3553/4792","IL1B/NFKBIA",2
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","3/33","204/9376",0.0343095888640247,0.104211175881521,0.0694121421274476,"1432/4609/5501","MAPK14/MYC/PPP1CC",3
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","3/33","205/9376",0.0347370586271736,0.104211175881521,0.0694121421274476,"1432/4609/4792","MAPK14/MYC/NFKBIA",3
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","2/33","90/9376",0.0396889641574396,0.117082444264447,0.0779853330812848,"1432/4792","MAPK14/NFKBIA",2
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","2/33","93/9376",0.0421196843988439,0.118336256168181,0.0788204620329243,"1432/4792","MAPK14/NFKBIA",2
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","2/33","93/9376",0.0421196843988439,0.118336256168181,0.0788204620329243,"1432/5580","MAPK14/PRKCD",2
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","2/33","93/9376",0.0421196843988439,0.118336256168181,0.0788204620329243,"4609/4792","MYC/NFKBIA",2
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","3/33","226/9376",0.044356088537078,0.122672307360356,0.0817085841472489,"154/4792/5501","ADRB2/NFKBIA/PPP1CC",3
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","4/33","388/9376",0.0458656890541619,0.12489579942441,0.0831895898634192,"9377/1349/1350/3553","COX5A/COX7B/COX7C/IL1B",4
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","3/33","238/9376",0.0503951619273669,0.133706938162563,0.0890584423086951,"3553/1432/4792","IL1B/MAPK14/NFKBIA",3
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","2/33","103/9376",0.0506122308298968,0.133706938162563,0.0890584423086951,"383/3553","ARG1/IL1B",2
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","2/33","106/9376",0.0532719305383666,0.138663701548396,0.0923600034101713,"2950/4792","GSTP1/NFKBIA",2
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","3/33","268/9376",0.0671576316733409,0.172273924727266,0.114746830624168,"9377/1349/1350","COX5A/COX7B/COX7C",3
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","2/33","122/9376",0.0682602858943981,0.172601008618692,0.11496469203267,"1432/4792","MAPK14/NFKBIA",2
"Organismal Systems","Immune system","hsa04611","Platelet activation","2/33","126/9376",0.0722049283045831,0.180003835350862,0.119895507340449,"1432/5501","MAPK14/PPP1CC",2
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","2/33","130/9376",0.0762230182561714,0.187381586546421,0.124809620536421,"1432/4792","MAPK14/NFKBIA",2
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","1/33","23/9376",0.0779811591051397,0.189077604953558,0.125939290840312,"383","ARG1",1
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","2/33","133/9376",0.079283168403817,0.189536015249313,0.126244625084288,"1432/5501","MAPK14/PPP1CC",2
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","2/33","134/9376",0.0803118708683531,0.189536015249313,0.126244625084288,"5501/5580","PPP1CC/PRKCD",2
"Human Diseases","Infectious disease: viral","hsa05162","Measles","2/33","136/9376",0.0823820096806742,0.191863364651044,0.12779480726088,"3553/4792","IL1B/NFKBIA",2
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","2/33","138/9376",0.0844688579707492,0.194168673517177,0.129330308854736,"1432/5501","MAPK14/PPP1CC",2
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","3/33","300/9376",0.0875129907079411,0.198587171221866,0.132273346279209,"3553/1432/4609","IL1B/MAPK14/MYC",3
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/33","144/9376",0.0908264785721533,0.201176164170853,0.133997801886028,"1432/4609","MAPK14/MYC",2
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","1/33","27/9376",0.0909270798512329,0.201176164170853,0.133997801886028,"3992","FADS1",1
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","3/33","308/9376",0.0929754252243941,0.203168521786639,0.135324855427318,"9377/1349/1350","COX5A/COX7B/COX7C",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","1/33","28/9376",0.0941359157015815,0.20319581803878,0.13534303669547,"231","AKR1B1",1
