Mol_ID,Gene_symbol
tcm04075,NOS2
tcm04075,AR
tcm04075,F10
tcm04075,TOP2
tcm04075,PTGS2
tcm04075,F7
tcm04075,TOP2A
tcm04075,ESR2
tcm04075,DPP4
tcm04075,HSP90
tcm04075,PRSS1
tcm04075,NCOA2
tcm04075,CALM
tcm04075,CALM1
tcm04075,CAML1
tcm04075,F2
tcm04075,SCN5A
tcm04075,KDR
tcm04075,PPARD
tcm04097,TOP2
tcm04097,TOP2A
tcm04106,PTGS1
tcm04106,PTGS2
tcm04106,HSP90
tcm04106,PIK3CG
tcm04106,NCOA2
tcm04106,AKR1B1
tcm04106,JUN
tcm04118,TOP2
tcm04118,TOP2A
tcm04119,NOS2
tcm04119,PTGS1
tcm04119,ESR1
tcm04119,PTGS2
tcm04119,ESR2
tcm04119,HSP90
tcm04119,PIK3CG
tcm04119,CHEK1
tcm04119,PRKACA
tcm04126,TOP2
tcm04126,TOP2A
tcm04133,PGR
tcm04133,PR
tcm04133,NCOA2
tcm00243,PGR
tcm00243,PR
tcm00243,NCOA2
tcm00243,PTGS1
tcm00243,PTGS2
tcm00243,HSP90
tcm00243,PIK3CG
tcm00243,KCNH2
tcm00243,PRKACA
tcm00243,D1R
tcm00243,DRD1
tcm00243,CHRM3
tcm00243,CHRM1
tcm00243,SCN5A
tcm00243,GABRA2 
tcm00243,GABRA2
tcm00243,CHRM4
tcm00243,PDE3A
tcm00243,HTR2A
tcm00243,GABRA5
tcm00243,ADRA1A
tcm00243,GABRA3
tcm00243,GABRA23
tcm00243,CHRM2
tcm00243,ADRA1B
tcm00243,ADRB2
tcm00243,CHRNA2
tcm00243,SLC6A4
tcm00243,OPRM1
tcm00243,GABRA1
tcm00243,CHRNA7
tcm00243,CYP101
tcm00243,CYP101A1
tcm00243,BCL2
tcm00243,BAX
tcm00243,CASP9
tcm00243,JUN
tcm00243,CASP3
tcm00243,CASP8
tcm00243,PRKCA
tcm00243,TGFB1
tcm00243,PON1
tcm00243,MAP2
tcm02677,PTGS1
tcm02677,PTGS2
tcm02677,HSP90
tcm02677,PIK3CG
tcm02677,PRKACA
tcm02677,NCOA2
tcm02677,PKIA
tcm02677,AKR1B1
tcm02677,IGHG1
tcm02677,CDKN1A
tcm02677,EIF6
tcm02677,BAX
tcm02677,TNF
tcm02677,CASP3
tcm02677,TP53
tcm02677,FASN
tcm02677,PRKCA
tcm02677,PRKCE
tcm02677,CDC2
tcm02677,PCNA
tcm02677,MYC
tcm02677,IL1B
tcm02677,PRKCD
tcm02677,CCNB1
tcm02759,PTGS1
tcm02759,ESR1
tcm02759,PTGS2
tcm02759,HSP90
tcm02759,BLAC
tcm02759,PRKACA
tcm02759,NCOA2
tcm02759,CALM
tcm02759,CALM1
tcm02759,CAML1
tcm02759,FASN
tcm02759,PPARG
tcm02759,KLF7
tcm00210,PTGS1
tcm00210,PTGS2
tcm00210,NCOA2
tcm01925,NOS2
tcm01925,PTGS1
tcm01925,PTGS2
tcm01925,DPP4
tcm01925,HSP90
tcm01925,PRKACA
tcm01925,PRSS1
tcm01925,NCOA2
tcm01925,NCOA1
tcm01925,CALM
tcm01925,CALM1
tcm01925,CAML1
tcm01185,PGR
tcm01185,PR
tcm01185,NR3C2
tcm01185,MR
tcm01185,NCOA2
tcm01931,NOS2
tcm01931,PTGS1
tcm01931,PTGS2
tcm01931,DPP4
tcm01931,HSP90
tcm01931,PRKACA
tcm01931,PRSS1
tcm01931,NCOA2
tcm01931,CALM
tcm01931,CALM1
tcm01931,CAML1
tcm01931,PIK3CG
tcm06599,PGR
tcm06599,PR
tcm06599,NCOA2
tcm06604,PGR
tcm06604,PR
tcm06604,NR3C2
tcm06604,MR
tcm06609,NR3C1
tcm06610,NR3C2
tcm06610,MR
tcm06617,PTGS1
tcm06617,PTGS2
tcm06618,F10
tcm06618,TOP2
tcm00490,ABAT
tcm00490,ABL1
tcm00490,ACADSB
tcm00490,ACOX1
tcm00490,ACSL3
tcm00490,ACSL4
tcm00490,ADH5
tcm00490,ALDH5A1
tcm00490,ARF1
tcm00490,ARF6
tcm00490,C8G
tcm00490,CALM1
tcm00490,CNR1
tcm00490,CNR2
tcm00490,CYP2C8
tcm00490,ECI2
tcm00490,ELOVL4
tcm00490,FADS1
tcm00490,FADS2
tcm00490,FFAR1
tcm00490,FKBP1A
tcm00490,FURIN
tcm00490,GLTP
tcm00490,GM2A
tcm00490,GUCA1A
tcm00490,HAO1
tcm00490,HDAC2
tcm00490,HDAC9
tcm00490,HNF4A
tcm00490,HNF4G
tcm00490,INS
tcm00490,LALBA
tcm00490,LIP3
tcm00490,LTB4R
tcm00490,LTB4R2
tcm00490,LTF
tcm00490,LY96
tcm00490,NCOA1
tcm00490,NR1H4
tcm00490,OGDH
tcm00490,PAEP
tcm00490,PKIA
tcm00490,PLA2G1B
tcm00490,PLA2G2A
tcm00490,PLA2G2D
tcm00490,PLA2G2E
tcm00490,PMP2
tcm00490,PPARA
tcm00490,PPARD
tcm00490,PPARG
tcm00490,PPA_RS05235
tcm00490,PPP3CA
tcm00490,PPP3R1
tcm00490,PPT1
tcm00490,PRKACA
tcm00490,PTGS1
tcm00490,PTGS2
tcm00490,PVR
tcm00490,RCVRN
tcm00490,RHO
tcm00490,RXRA
tcm00490,RXRB
tcm00490,RXRG
tcm00490,S100B
tcm00490,SCN10A
tcm00490,SCN11A
tcm00490,SCN1A
tcm00490,SCN1B
tcm00490,SCN2A
tcm00490,SCN2B
tcm00490,SCN3A
tcm00490,SCN3B
tcm00490,SCN4A
tcm00490,SCN4B
tcm00490,SCN5A
tcm00490,SCN7A
tcm00490,SCN8A
tcm00490,SCN9A
tcm00490,SEC14L2
tcm00490,SLC8A1
tcm00490,SREBF1
tcm00490,TLR4
tcm00490,TM1468
tcm00490,TRAPPC3
tcm00490,TRPV1
tcm00490,VLDLR
tcm00491,ABL1
tcm00491,ACSL3
tcm00491,ACSL4
tcm00491,ADH5
tcm00491,ARF1
tcm00491,ARF6
tcm00491,C8G
tcm00491,CALM1
tcm00491,CYP2C8
tcm00491,ECI2
tcm00491,ELOVL4
tcm00491,FADS1
tcm00491,FADS2
tcm00491,FFAR1
tcm00491,FKBP1A
tcm00491,FURIN
tcm00491,GLTP
tcm00491,GM2A
tcm00491,GUCA1A
tcm00491,HNF4A
tcm00491,HNF4G
tcm00491,INS
tcm00491,LALBA
tcm00491,LIP3
tcm00491,LTF
tcm00491,LY96
tcm00491,NCOA1
tcm00491,NR1H4
tcm00491,PAEP
tcm00491,PKIA
tcm00491,PLA2G1B
tcm00491,PLA2G2A
tcm00491,PLA2G2D
tcm00491,PLA2G2E
tcm00491,PMP2
tcm00491,PPARA
tcm00491,PPARD
tcm00491,PPARG
tcm00491,PPA_RS05235
tcm00491,PPP3CA
tcm00491,PPP3R1
tcm00491,PPT1
tcm00491,PRKACA
tcm00491,PTGS1
tcm00491,PTGS2
tcm00491,PVR
tcm00491,RCVRN
tcm00491,RHO
tcm00491,RXRA
tcm00491,RXRB
tcm00491,RXRG
tcm00491,SEC14L2
tcm00491,SLC8A1
tcm00491,SREBF1
tcm00491,TLR4
tcm00491,TM1468
tcm00491,TRAPPC3
tcm00491,TRPV1
tcm00491,VLDLR
tcm00507,ABAT
tcm00507,ABL1
tcm00507,ACADSB
tcm00507,ACOX1
tcm00507,ACSL3
tcm00507,ACSL4
tcm00507,ADH5
tcm00507,ALDH5A1
tcm00507,ARF1
tcm00507,ARF6
tcm00507,C8G
tcm00507,CALM1
tcm00507,CNR1
tcm00507,CNR2
tcm00507,CYP2C8
tcm00507,ECI2
tcm00507,ELOVL4
tcm00507,FADS1
tcm00507,FADS2
tcm00507,FFAR1
tcm00507,FKBP1A
tcm00507,FURIN
tcm00507,GLTP
tcm00507,GM2A
tcm00507,GUCA1A
tcm00507,HAO1
tcm00507,HDAC2
tcm00507,HDAC9
tcm00507,HNF4A
tcm00507,HNF4G
tcm00507,INS
tcm00507,LALBA
tcm00507,LIP3
tcm00507,LTB4R
tcm00507,LTB4R2
tcm00507,LTF
tcm00507,LY96
tcm00507,NCOA1
tcm00507,NR1H4
tcm00507,OGDH
tcm00507,PAEP
tcm00507,PKIA
tcm00507,PLA2G1B
tcm00507,PLA2G2A
tcm00507,PLA2G2D
tcm00507,PLA2G2E
tcm00507,PMP2
tcm00507,PPARA
tcm00507,PPARD
tcm00507,PPARG
tcm00507,PPA_RS05235
tcm00507,PPP3CA
tcm00507,PPP3R1
tcm00507,PPT1
tcm00507,PRKACA
tcm00507,PTGS1
tcm00507,PTGS2
tcm00507,PVR
tcm00507,RCVRN
tcm00507,RHO
tcm00507,RXRA
tcm00507,RXRB
tcm00507,RXRG
tcm00507,S100B
tcm00507,SCN10A
tcm00507,SCN11A
tcm00507,SCN1A
tcm00507,SCN1B
tcm00507,SCN2A
tcm00507,SCN2B
tcm00507,SCN3A
tcm00507,SCN3B
tcm00507,SCN4A
tcm00507,SCN4B
tcm00507,SCN5A
tcm00507,SCN7A
tcm00507,SCN8A
tcm00507,SCN9A
tcm00507,SEC14L2
tcm00507,SLC8A1
tcm00507,SREBF1
tcm00507,TLR4
tcm00507,TM1468
tcm00507,TRAPPC3
tcm00507,TRPV1
tcm00507,VLDLR
tcm01334,AKR1C1
tcm01334,AKR1C2
tcm01334,AR
tcm01334,CLEC4E
tcm01334,CYP27B1
tcm01334,ESR1
tcm01334,ESR2
tcm01334,GABRA1
tcm01334,GABRA2
tcm01334,GABRA3
tcm01334,GABRA4
tcm01334,GABRA5
tcm01334,GABRA6
tcm01334,GABRB1
tcm01334,GABRB2
tcm01334,GABRB3
tcm01334,GABRD
tcm01334,GABRE
tcm01334,GABRG1
tcm01334,GABRG2
tcm01334,GABRG3
tcm01334,GABRP
tcm01334,GABRQ
tcm01334,GRIN1
tcm01334,GRIN2A
tcm01334,GRIN2B
tcm01334,GRIN2C
tcm01334,GRIN2D
tcm01334,GRIN3A
tcm01334,GRIN3B
tcm01334,HOXA10
tcm01334,HSD17B1
tcm01334,LIP3
tcm01334,LSS
tcm01334,MED1
tcm01334,NCOA2
tcm01334,NFKB1
tcm01334,NFKB2
tcm01334,NR1I2
tcm01334,NR1I3
tcm01334,NR3C1
tcm01334,NR3C2
tcm01334,PGR
tcm01334,PPARA
tcm01334,RORA
tcm01334,RXRA
tcm01334,SHBG
tcm01334,SIGMAR1
tcm01334,SRD5A1
tcm01334,SULT2A1
tcm01334,SULT2B1
tcm01334,VDR
tcm02062,ALAD
tcm02062,ARG1
tcm02062,ARG2
tcm02062,GABBR1
tcm02062,GABBR2
tcm02062,GATM
tcm02062,LPA
tcm02062,OAT
tcm02062,OAZ1
tcm02062,OAZ2
tcm02062,OAZ3
tcm02062,OTC
tcm02062,PLAT
tcm02062,PLG
tcm02062,SLC25A15
tcm02062,SLC25A2
tcm02062,SLC7A1
tcm02062,SLC7A2
tcm02062,SLC7A3
tcm02062,SLC7A4
tcm02303,ABL1
tcm02303,ACSL3
tcm02303,ACSL4
tcm02303,ADH5
tcm02303,ARF1
tcm02303,ARF6
tcm02303,C8G
tcm02303,CALM1
tcm02303,CYP2C8
tcm02303,ECI2
tcm02303,ELOVL4
tcm02303,FADS1
tcm02303,FADS2
tcm02303,FFAR1
tcm02303,FKBP1A
tcm02303,FURIN
tcm02303,GLTP
tcm02303,GM2A
tcm02303,GUCA1A
tcm02303,HNF4A
tcm02303,HNF4G
tcm02303,INS
tcm02303,LALBA
tcm02303,LIP3
tcm02303,LTF
tcm02303,LY96
tcm02303,NCOA1
tcm02303,NR1H4
tcm02303,PAEP
tcm02303,PKIA
tcm02303,PLA2G1B
tcm02303,PLA2G2A
tcm02303,PLA2G2D
tcm02303,PLA2G2E
tcm02303,PMP2
tcm02303,PPARA
tcm02303,PPARD
tcm02303,PPARG
tcm02303,PPA_RS05235
tcm02303,PPP3CA
tcm02303,PPP3R1
tcm02303,PPT1
tcm02303,PRKACA
tcm02303,PTGS1
tcm02303,PTGS2
tcm02303,PVR
tcm02303,RCVRN
tcm02303,RHO
tcm02303,RXRA
tcm02303,S100B
tcm02303,SEC14L2
tcm02303,SLC8A1
tcm02303,TLR4
tcm02303,TM1468
tcm02303,TRAPPC3
tcm02303,TRPV1
tcm02303,VLDLR
tcm02625,ABAT
tcm02625,ABL1
tcm02625,ACADSB
tcm02625,ACOX1
tcm02625,ACSL3
tcm02625,ACSL4
tcm02625,ADH5
tcm02625,ALDH5A1
tcm02625,ARF1
tcm02625,ARF6
tcm02625,C8G
tcm02625,CALM1
tcm02625,CNR1
tcm02625,CNR2
tcm02625,CYP2C8
tcm02625,ECI2
tcm02625,ELOVL4
tcm02625,FADS1
tcm02625,FADS2
tcm02625,FFAR1
tcm02625,FKBP1A
tcm02625,FURIN
tcm02625,GLTP
tcm02625,GM2A
tcm02625,GUCA1A
tcm02625,HAO1
tcm02625,HDAC2
tcm02625,HDAC9
tcm02625,HNF4A
tcm02625,HNF4G
tcm02625,INS
tcm02625,LALBA
tcm02625,LIP3
tcm02625,LTB4R
tcm02625,LTB4R2
tcm02625,LTF
tcm02625,LY96
tcm02625,NCOA1
tcm02625,NR1H4
tcm02625,OGDH
tcm02625,PAEP
tcm02625,PKIA
tcm02625,PLA2G1B
tcm02625,PLA2G2A
tcm02625,PLA2G2D
tcm02625,PLA2G2E
tcm02625,PMP2
tcm02625,PPARA
tcm02625,PPARD
tcm02625,PPARG
tcm02625,PPA_RS05235
tcm02625,PPP3CA
tcm02625,PPP3R1
tcm02625,PPT1
tcm02625,PRKACA
tcm02625,PTGS1
tcm02625,PTGS2
tcm02625,PVR
tcm02625,RCVRN
tcm02625,RHO
tcm02625,RXRA
tcm02625,RXRB
tcm02625,RXRG
tcm02625,S100B
tcm02625,SCN10A
tcm02625,SCN11A
tcm02625,SCN1A
tcm02625,SCN1B
tcm02625,SCN2A
tcm02625,SCN2B
tcm02625,SCN3A
tcm02625,SCN3B
tcm02625,SCN4A
tcm02625,SCN4B
tcm02625,SCN5A
tcm02625,SCN7A
tcm02625,SCN8A
tcm02625,SCN9A
tcm02625,SEC14L2
tcm02625,SLC8A1
tcm02625,SREBF1
tcm02625,TLR4
tcm02625,TM1468
tcm02625,TRAPPC3
tcm02625,TRPV1
tcm02625,VLDLR
tcm04750,ABL1
tcm04750,ACSL3
tcm04750,ACSL4
tcm04750,ADH5
tcm04750,ARF1
tcm04750,ARF6
tcm04750,C8G
tcm04750,CALM1
tcm04750,CNR1
tcm04750,CNR2
tcm04750,CYP2C8
tcm04750,ECI2
tcm04750,ELOVL4
tcm04750,FADS1
tcm04750,FADS2
tcm04750,FFAR1
tcm04750,FKBP1A
tcm04750,FURIN
tcm04750,GLTP
tcm04750,GM2A
tcm04750,GUCA1A
tcm04750,HNF4A
tcm04750,HNF4G
tcm04750,INS
tcm04750,LALBA
tcm04750,LIP3
tcm04750,LTB4R
tcm04750,LTB4R2
tcm04750,LTF
tcm04750,LY96
tcm04750,NCOA1
tcm04750,NR1H4
tcm04750,PAEP
tcm04750,PKIA
tcm04750,PLA2G1B
tcm04750,PLA2G2A
tcm04750,PLA2G2D
tcm04750,PLA2G2E
tcm04750,PMP2
tcm04750,PPARA
tcm04750,PPARD
tcm04750,PPARG
tcm04750,PPA_RS05235
tcm04750,PPP3CA
tcm04750,PPP3R1
tcm04750,PPT1
tcm04750,PRKACA
tcm04750,PTGS1
tcm04750,PTGS2
tcm04750,PVR
tcm04750,RCVRN
tcm04750,RHO
tcm04750,RXRA
tcm04750,RXRB
tcm04750,RXRG
tcm04750,S100B
tcm04750,SEC14L2
tcm04750,SLC8A1
tcm04750,SREBF1
tcm04750,TLR4
tcm04750,TM1468
tcm04750,TRAPPC3
tcm04750,TRPV1
tcm04750,VLDLR
tcm06627,BLLF1
tcm06627,FAAH
tcm06628,ABCB1
tcm06628,BIRC5
tcm06629,ACOT13
tcm06629,DBI
tcm06629,RHO
tcm02985,ANXA1
tcm02985,HSD11B2
tcm02985,HSD3B1
tcm02985,NR3C1
tcm02985,PRKCA
tcm02985,PRKCD
tcm06630,ANXA1
tcm06630,ATP1A1
tcm06630,ATP1A2
tcm06630,ATP1A3
tcm06630,CASP3
tcm06630,GABRB3
tcm06630,GLRA3
tcm06630,HSD11B1
tcm06630,HSD11B2
tcm06630,HSD3B1
tcm06630,IL1B
tcm06630,IL6
tcm06630,LPL
tcm06630,NFKB1
tcm06630,NFKB2
tcm06630,NR3C1
tcm06630,PPP1CC
tcm06630,SLCO1B3
tcm06630,TNF
tcm06630,VDR
tcm06630,YWHAE
tcm06631,AKR1C1
tcm06631,AKR1C2
tcm06631,AR
tcm06631,CLEC4E
tcm06631,CYP27B1
tcm06631,ESR1
tcm06631,ESR2
tcm06631,GABRA1
tcm06631,GABRA2
tcm06631,GABRA3
tcm06631,GABRA4
tcm06631,GABRA5
tcm06631,GABRA6
tcm06631,GABRB1
tcm06631,GABRB2
tcm06631,GABRB3
tcm06631,GABRD
tcm06631,GABRE
tcm06631,GABRG1
tcm06631,GABRG2
tcm06631,GABRG3
tcm06631,GABRP
tcm06631,GABRQ
tcm06631,GRIN1
tcm06631,GRIN2A
tcm06631,GRIN2B
tcm06631,GRIN2C
tcm06631,GRIN2D
tcm06631,GRIN3A
tcm06631,GRIN3B
tcm06631,HOXA10
tcm06631,HSD17B1
tcm06631,LIP3
tcm06631,LSS
tcm06631,MED1
tcm06631,NCOA2
tcm06631,NFKB1
tcm06631,NFKB2
tcm06631,NR1I2
tcm06631,NR1I3
tcm06631,NR3C1
tcm06631,NR3C2
tcm06631,PGR
tcm06631,PPARA
tcm06631,RORA
tcm06631,RXRA
tcm06631,SHBG
tcm06631,SIGMAR1
tcm06631,SRD5A1
tcm06631,SULT2A1
tcm06631,SULT2B1
tcm06631,VDR
tcm06632,AKR1C1
tcm06632,AKR1C2
tcm06632,AR
tcm06632,CLEC4E
tcm06632,CYP27B1
tcm06632,ESR1
tcm06632,ESR2
tcm06632,GABRA1
tcm06632,GABRA2
tcm06632,GABRA3
tcm06632,GABRA4
tcm06632,GABRA5
tcm06632,GABRA6
tcm06632,GABRB1
tcm06632,GABRB2
tcm06632,GABRB3
tcm06632,GABRD
tcm06632,GABRE
tcm06632,GABRG1
tcm06632,GABRG2
tcm06632,GABRG3
tcm06632,GABRP
tcm06632,GABRQ
tcm06632,GRIN1
tcm06632,GRIN2A
tcm06632,GRIN2B
tcm06632,GRIN2C
tcm06632,GRIN2D
tcm06632,GRIN3A
tcm06632,GRIN3B
tcm06632,HOXA10
tcm06632,HSD17B1
tcm06632,LSS
tcm06632,MED1
tcm06632,NCOA2
tcm06632,NFKB1
tcm06632,NFKB2
tcm06632,NR1I2
tcm06632,NR1I3
tcm06632,NR3C1
tcm06632,NR3C2
tcm06632,PGR
tcm06632,PPARA
tcm06632,RORA
tcm06632,RXRA
tcm06632,SHBG
tcm06632,SIGMAR1
tcm06632,SRD5A1
tcm06632,SULT2A1
tcm06632,SULT2B1
tcm06632,VDR
tcm06633,AKR1C1
tcm06633,AKR1C2
tcm06633,AR
tcm06633,CLEC4E
tcm06633,CYP27B1
tcm06633,ESR1
tcm06633,ESR2
tcm06633,GABRA1
tcm06633,GABRA2
tcm06633,GABRA3
tcm06633,GABRA4
tcm06633,GABRA5
tcm06633,GABRA6
tcm06633,GABRB1
tcm06633,GABRB2
tcm06633,GABRB3
tcm06633,GABRD
tcm06633,GABRE
tcm06633,GABRG1
tcm06633,GABRG2
tcm06633,GABRG3
tcm06633,GABRP
tcm06633,GABRQ
tcm06633,GRIN1
tcm06633,GRIN2A
tcm06633,GRIN2B
tcm06633,GRIN2C
tcm06633,GRIN2D
tcm06633,GRIN3A
tcm06633,GRIN3B
tcm06633,HOXA10
tcm06633,HSD17B1
tcm06633,LIP3
tcm06633,LSS
tcm06633,MED1
tcm06633,NCOA2
tcm06633,NFKB1
tcm06633,NFKB2
tcm06633,NR1I2
tcm06633,NR1I3
tcm06633,NR3C1
tcm06633,NR3C2
tcm06633,PGR
tcm06633,PPARA
tcm06633,RORA
tcm06633,RXRA
tcm06633,SHBG
tcm06633,SIGMAR1
tcm06633,SRD5A1
tcm06633,SULT2A1
tcm06633,SULT2B1
tcm06633,VDR
tcm06634,AKR1C1
tcm06634,AKR1C2
tcm06634,AR
tcm06634,CLEC4E
tcm06634,CYP27B1
tcm06634,ESR1
tcm06634,ESR2
tcm06634,GABRA1
tcm06634,GABRA2
tcm06634,GABRA3
tcm06634,GABRA4
tcm06634,GABRA5
tcm06634,GABRA6
tcm06634,GABRB1
tcm06634,GABRB2
tcm06634,GABRB3
tcm06634,GABRD
tcm06634,GABRE
tcm06634,GABRG1
tcm06634,GABRG2
tcm06634,GABRG3
tcm06634,GABRP
tcm06634,GABRQ
tcm06634,GRIN1
tcm06634,GRIN2A
tcm06634,GRIN2B
tcm06634,GRIN2C
tcm06634,GRIN2D
tcm06634,GRIN3A
tcm06634,GRIN3B
tcm06634,HOXA10
tcm06634,HSD17B1
tcm06634,LSS
tcm06634,MED1
tcm06634,NCOA2
tcm06634,NFKB1
tcm06634,NFKB2
tcm06634,NR1I2
tcm06634,NR1I3
tcm06634,NR3C1
tcm06634,NR3C2
tcm06634,PGR
tcm06634,PPARA
tcm06634,RORA
tcm06634,RXRA
tcm06634,SHBG
tcm06634,SIGMAR1
tcm06634,SRD5A1
tcm06634,SULT2A1
tcm06634,SULT2B1
tcm06634,VDR
tcm06635,ANXA1
tcm06635,ATP1A1
tcm06635,ATP1A2
tcm06635,ATP1A3
tcm06635,CASP3
tcm06635,GABRB3
tcm06635,GLRA3
tcm06635,HSD11B1
tcm06635,HSD11B2
tcm06635,HSD3B1
tcm06635,LPL
tcm06635,NFKB1
tcm06635,NFKB2
tcm06635,NR3C1
tcm06635,PPP1CC
tcm06635,SLCO1B3
tcm06635,TNF
tcm06635,VDR
tcm06635,YWHAE
tcm01204,ADH1C
tcm01204,AKR1C1
tcm01204,AKR1C2
tcm01204,AR
tcm01204,CES1
tcm01204,CLEC4E
tcm01204,COX4I1
tcm01204,COX5A
tcm01204,COX5B
tcm01204,COX6A2
tcm01204,COX6B1
tcm01204,COX6C
tcm01204,COX7A1
tcm01204,COX7B
tcm01204,COX7C
tcm01204,COX8A
tcm01204,EFTUD1
tcm01204,ESR1
tcm01204,ESR2
tcm01204,ESRRG
tcm01204,FABP6
tcm01204,FECH
tcm01204,GABRA1
tcm01204,GABRA2
tcm01204,GABRA3
tcm01204,GABRA4
tcm01204,GABRA5
tcm01204,GABRA6
tcm01204,GABRB1
tcm01204,GABRB2
tcm01204,GABRB3
tcm01204,GABRD
tcm01204,GABRE
tcm01204,GABRG1
tcm01204,GABRG2
tcm01204,GABRG3
tcm01204,GABRP
tcm01204,GABRQ
tcm01204,GPBAR1
tcm01204,GRIN1
tcm01204,GRIN2A
tcm01204,GRIN2B
tcm01204,GRIN2C
tcm01204,GRIN2D
tcm01204,GRIN3A
tcm01204,GRIN3B
tcm01204,GSTP1
tcm01204,HOXA10
tcm01204,HSD11B1
tcm01204,HSD11B2
tcm01204,HSD17B1
tcm01204,IGHG2
tcm01204,LSS
tcm01204,MT-CO1
tcm01204,MT-CO2
tcm01204,MT-CO3
tcm01204,NCOA2
tcm01204,NFKB1
tcm01204,NFKB2
tcm01204,NPPB
tcm01204,NR1H4
tcm01204,NR1I2
tcm01204,NR1I3
tcm01204,NR3C1
tcm01204,NR3C2
tcm01204,PGR
tcm01204,PLA2G1B
tcm01204,PPARA
tcm01204,PRLR
tcm01204,RORA
tcm01204,SHBG
tcm01204,SIGMAR1
tcm01204,SULT2A1
tcm01204,SULT2B1
tcm01204,VDR
tcm01232,AKR1C1
tcm01232,AKR1C2
tcm01232,AR
tcm01232,CLEC4E
tcm01232,CYP27B1
tcm01232,ESR1
tcm01232,ESR2
tcm01232,GABRA1
tcm01232,GABRA2
tcm01232,GABRA3
tcm01232,GABRA4
tcm01232,GABRA5
tcm01232,GABRA6
tcm01232,GABRB1
tcm01232,GABRB2
tcm01232,GABRB3
tcm01232,GABRD
tcm01232,GABRE
tcm01232,GABRG1
tcm01232,GABRG2
tcm01232,GABRG3
tcm01232,GABRP
tcm01232,GABRQ
tcm01232,GRIN1
tcm01232,GRIN2A
tcm01232,GRIN2B
tcm01232,GRIN2C
tcm01232,GRIN2D
tcm01232,GRIN3A
tcm01232,GRIN3B
tcm01232,HOXA10
tcm01232,HSD17B1
tcm01232,IGHG2
tcm01232,LSS
tcm01232,NCOA2
tcm01232,NR1I2
tcm01232,NR1I3
tcm01232,NR3C1
tcm01232,NR3C2
tcm01232,PGR
tcm01232,PPARA
tcm01232,RORA
tcm01232,RXRA
tcm01232,SIGMAR1
tcm01232,SULT2A1
tcm01232,SULT2B1
tcm01232,VDR
tcm06636,AR
tcm06636,ESR1
tcm06636,ESR2
tcm06636,IGHG2
tcm06636,NR3C1
tcm06636,NR3C2
