Mol_ID,Gene_symbol,Description
MOL007130,CDK2,cyclin dependent kinase 2
MOL007130,CHEK1,checkpoint kinase 1
MOL007130,MAPK14,mitogen-activated protein kinase 14
MOL007130,DPP4,dipeptidyl peptidase 4
MOL007130,ESR1,estrogen receptor 1
MOL007130,ESR2,estrogen receptor 2
MOL007130,GSK3B,glycogen synthase kinase 3 beta
MOL007130,NOS2,nitric oxide synthase 2
MOL007130,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007130,PPARG,peroxisome proliferator activated receptor gamma
MOL007130,PRSS1,serine protease 1
MOL007130,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007130,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007119,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007119,ADRA1D,adrenoceptor alpha 1D
MOL007119,ADRA1B,adrenoceptor alpha 1B
MOL007119,ADRA1A,adrenoceptor alpha 1A
MOL007119,ADRB2,adrenoceptor beta 2
MOL007119,AR,androgen receptor
MOL007119,CA2,carbonic anhydrase 2
MOL007119,CCNA2,cyclin A2
MOL007119,CDK2,cyclin dependent kinase 2
MOL007119,CHRM1,cholinergic receptor muscarinic 1
MOL007119,CHRM2,cholinergic receptor muscarinic 2
MOL007119,CHRM3,cholinergic receptor muscarinic 3
MOL007119,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007119,DPEP1,dipeptidase 1
MOL007119,DPP4,dipeptidyl peptidase 4
MOL007119,ESR1,estrogen receptor 1
MOL007119,ESR2,estrogen receptor 2
MOL007119,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL007119,GSK3B,glycogen synthase kinase 3 beta
MOL007119,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007119,NOS2,nitric oxide synthase 2
MOL007119,OPRD1,opioid receptor delta 1
MOL007119,OPRM1,opioid receptor mu 1
MOL007119,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007119,PRSS1,serine protease 1
MOL007119,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007119,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007119,RXRA,retinoid X receptor alpha
MOL007119,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007119,NCOA1,nuclear receptor coactivator 1
MOL007119,NCOA2,nuclear receptor coactivator 2
MOL007100,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007100,ADRA1D,adrenoceptor alpha 1D
MOL007100,ADRA1B,adrenoceptor alpha 1B
MOL007100,ADRA1A,adrenoceptor alpha 1A
MOL007100,ADRB2,adrenoceptor beta 2
MOL007100,AR,androgen receptor
MOL007100,CA2,carbonic anhydrase 2
MOL007100,CCNA2,cyclin A2
MOL007100,CDK2,cyclin dependent kinase 2
MOL007100,CHEK1,checkpoint kinase 1
MOL007100,CHRM1,cholinergic receptor muscarinic 1
MOL007100,CHRM3,cholinergic receptor muscarinic 3
MOL007100,CHRM5,cholinergic receptor muscarinic 5
MOL007100,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007100,MAPK14,mitogen-activated protein kinase 14
MOL007100,DPP4,dipeptidyl peptidase 4
MOL007100,DRD1,dopamine receptor D1
MOL007100,ESR1,estrogen receptor 1
MOL007100,ESR2,estrogen receptor 2
MOL007100,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007100,GSK3B,glycogen synthase kinase 3 beta
MOL007100,HTR3A,5-hydroxytryptamine receptor 3A
MOL007100,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007100,NOS2,nitric oxide synthase 2
MOL007100,OPRM1,opioid receptor mu 1
MOL007100,PDE3A,phosphodiesterase 3A
MOL007100,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007100,PPARG,peroxisome proliferator activated receptor gamma
MOL007100,PRSS1,serine protease 1
MOL007100,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007100,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007100,RXRA,retinoid X receptor alpha
MOL007100,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007100,SLC6A3,solute carrier family 6 member 3
MOL007100,SLC6A4,solute carrier family 6 member 4
MOL007132,AR,androgen receptor
MOL007132,CA2,carbonic anhydrase 2
MOL007132,CCNA2,cyclin A2
MOL007132,CDK2,cyclin dependent kinase 2
MOL007132,MAPK14,mitogen-activated protein kinase 14
MOL007132,DPP4,dipeptidyl peptidase 4
MOL007132,ESR1,estrogen receptor 1
MOL007132,GSK3B,glycogen synthase kinase 3 beta
MOL007132,PPARG,peroxisome proliferator activated receptor gamma
MOL007132,PRSS1,serine protease 1
MOL007132,PTGS2,prostaglandin-endoperoxide synthase 2
MOL001601,ACHE,acetylcholinesterase (Cartwright blood group)
MOL001601,ADRA1D,adrenoceptor alpha 1D
MOL001601,ADRA1B,adrenoceptor alpha 1B
MOL001601,ADRA1A,adrenoceptor alpha 1A
MOL001601,ADRB2,adrenoceptor beta 2
MOL001601,AR,androgen receptor
MOL001601,CA2,carbonic anhydrase 2
MOL001601,CCNA2,cyclin A2
MOL001601,CDK2,cyclin dependent kinase 2
MOL001601,CHEK1,checkpoint kinase 1
MOL001601,CHRM1,cholinergic receptor muscarinic 1
MOL001601,CHRM2,cholinergic receptor muscarinic 2
MOL001601,CHRM3,cholinergic receptor muscarinic 3
MOL001601,CHRM4,cholinergic receptor muscarinic 4
MOL001601,CHRM5,cholinergic receptor muscarinic 5
MOL001601,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL001601,MAPK14,mitogen-activated protein kinase 14
MOL001601,DPP4,dipeptidyl peptidase 4
MOL001601,DRD1,dopamine receptor D1
MOL001601,ESR1,estrogen receptor 1
MOL001601,ESR2,estrogen receptor 2
MOL001601,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL001601,GSK3B,glycogen synthase kinase 3 beta
MOL001601,HTR3A,5-hydroxytryptamine receptor 3A
MOL001601,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL001601,NOS2,nitric oxide synthase 2
MOL001601,OPRD1,opioid receptor delta 1
MOL001601,OPRM1,opioid receptor mu 1
MOL001601,PDE3A,phosphodiesterase 3A
MOL001601,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL001601,PPARG,peroxisome proliferator activated receptor gamma
MOL001601,PRSS1,serine protease 1
MOL001601,PTGS1,prostaglandin-endoperoxide synthase 1
MOL001601,PTGS2,prostaglandin-endoperoxide synthase 2
MOL001601,RXRA,retinoid X receptor alpha
MOL001601,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL001601,SLC6A3,solute carrier family 6 member 3
MOL001601,SLC6A4,solute carrier family 6 member 4
MOL001601,NCOA1,nuclear receptor coactivator 1
MOL001601,NCOA2,nuclear receptor coactivator 2
MOL007101,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007101,ADRA1D,adrenoceptor alpha 1D
MOL007101,ADRA1B,adrenoceptor alpha 1B
MOL007101,ADRA1A,adrenoceptor alpha 1A
MOL007101,ADRB2,adrenoceptor beta 2
MOL007101,ALDH1A1,aldehyde dehydrogenase 1 family member A1
MOL007101,AR,androgen receptor
MOL007101,BLM,BLM RecQ like helicase
MOL007101,CA2,carbonic anhydrase 2
MOL007101,CALM3,calmodulin 3
MOL007101,CCNA2,cyclin A2
MOL007101,CDK2,cyclin dependent kinase 2
MOL007101,CHEK1,checkpoint kinase 1
MOL007101,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007101,MAPK14,mitogen-activated protein kinase 14
MOL007101,CYP3A4,cytochrome P450 family 3 subfamily A member 4
MOL007101,DPP4,dipeptidyl peptidase 4
MOL007101,ESR1,estrogen receptor 1
MOL007101,ESR2,estrogen receptor 2
MOL007101,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007101,KAT2A,lysine acetyltransferase 2A
MOL007101,GSK3B,glycogen synthase kinase 3 beta
MOL007101,HSD17B10,hydroxysteroid 17-beta dehydrogenase 10
MOL007101,HPGD,15-hydroxyprostaglandin dehydrogenase
MOL007101,HTR3A,5-hydroxytryptamine receptor 3A
MOL007101,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007101,IDO1,"indoleamine 2,3-dioxygenase 1"
MOL007101,LMNA,lamin A/C
MOL007101,MAPT,microtubule associated protein tau
MOL007101,KMT2A,lysine methyltransferase 2A
MOL007101,NOS2,nitric oxide synthase 2
MOL007101,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007101,PPARG,peroxisome proliferator activated receptor gamma
MOL007101,MAPK1,mitogen-activated protein kinase 1
MOL007101,PRSS1,serine protease 1
MOL007101,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007101,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007101,RECQL,RecQ like helicase
MOL007101,RXRA,retinoid X receptor alpha
MOL007101,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007101,THRB,thyroid hormone receptor beta
MOL007101,TP53,tumor protein p53
MOL007101,USP1,ubiquitin specific peptidase 1
MOL007101,VDR,vitamin D receptor
MOL007101,NCOA1,nuclear receptor coactivator 1
MOL007101,NCOA2,nuclear receptor coactivator 2
MOL007101,POLK,DNA polymerase kappa
MOL007101,TDP1,tyrosyl-DNA phosphodiesterase 1
MOL007101,KDM4E,lysine demethylase 4E
MOL007061,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007061,ADRA1D,adrenoceptor alpha 1D
MOL007061,ADRB2,adrenoceptor beta 2
MOL007061,AR,androgen receptor
MOL007061,CA2,carbonic anhydrase 2
MOL007061,CCNA2,cyclin A2
MOL007061,CDK2,cyclin dependent kinase 2
MOL007061,CHEK1,checkpoint kinase 1
MOL007061,CHRM1,cholinergic receptor muscarinic 1
MOL007061,CHRM2,cholinergic receptor muscarinic 2
MOL007061,CHRM3,cholinergic receptor muscarinic 3
MOL007061,CHRM5,cholinergic receptor muscarinic 5
MOL007061,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007061,MAPK14,mitogen-activated protein kinase 14
MOL007061,DPP4,dipeptidyl peptidase 4
MOL007061,DRD1,dopamine receptor D1
MOL007061,ESR1,estrogen receptor 1
MOL007061,ESR2,estrogen receptor 2
MOL007061,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007061,GSK3B,glycogen synthase kinase 3 beta
MOL007061,NOS2,nitric oxide synthase 2
MOL007061,OPRD1,opioid receptor delta 1
MOL007061,OPRM1,opioid receptor mu 1
MOL007061,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007061,PPARG,peroxisome proliferator activated receptor gamma
MOL007061,PRSS1,serine protease 1
MOL007061,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007061,RXRA,retinoid X receptor alpha
MOL007061,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007061,SLC6A4,solute carrier family 6 member 4
MOL007061,NCOA1,nuclear receptor coactivator 1
MOL007127,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007127,ADRA1D,adrenoceptor alpha 1D
MOL007127,ADRA1A,adrenoceptor alpha 1A
MOL007127,ADRB2,adrenoceptor beta 2
MOL007127,AR,androgen receptor
MOL007127,CA2,carbonic anhydrase 2
MOL007127,CCNA2,cyclin A2
MOL007127,CDK2,cyclin dependent kinase 2
MOL007127,CHEK1,checkpoint kinase 1
MOL007127,CHRM3,cholinergic receptor muscarinic 3
MOL007127,CHRM5,cholinergic receptor muscarinic 5
MOL007127,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007127,MAPK14,mitogen-activated protein kinase 14
MOL007127,DPP4,dipeptidyl peptidase 4
MOL007127,DRD1,dopamine receptor D1
MOL007127,ESR1,estrogen receptor 1
MOL007127,ESR2,estrogen receptor 2
MOL007127,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007127,GSK3B,glycogen synthase kinase 3 beta
MOL007127,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007127,NOS2,nitric oxide synthase 2
MOL007127,OPRM1,opioid receptor mu 1
MOL007127,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007127,PPARG,peroxisome proliferator activated receptor gamma
MOL007127,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007127,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007127,RXRA,retinoid X receptor alpha
MOL007127,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007127,NCOA1,nuclear receptor coactivator 1
MOL007085,AR,androgen receptor
MOL007085,CHRM5,cholinergic receptor muscarinic 5
MOL007085,ESR1,estrogen receptor 1
MOL007085,ESR2,estrogen receptor 2
MOL007085,HTR3A,5-hydroxytryptamine receptor 3A
MOL007085,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007085,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007085,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007088,PTPN11,protein tyrosine phosphatase non-receptor type 11
MOL007088,NLRP3,NLR family pyrin domain containing 3
MOL007088,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta
MOL007088,IL1B,interleukin 1 beta
MOL007088,MYD88,MYD88 innate immune signal transduction adaptor
MOL007088,NOX4,NADPH oxidase 4
MOL007088,NFKB1,nuclear factor kappa B subunit 1
MOL007088,CASP3,caspase 3
MOL007088,NQO1,NAD(P)H quinone dehydrogenase 1
MOL007088,PDP1,pyruvate dehyrogenase phosphatase catalytic subunit 1
MOL007088,CASP1,caspase 1
MOL007088,BCL2,BCL2 apoptosis regulator
MOL007088,TLR4,toll like receptor 4
MOL007088,PTGES,prostaglandin E synthase
MOL007088,ALDH1A1,aldehyde dehydrogenase 1 family member A1
MOL007088,MAPK3,mitogen-activated protein kinase 3
MOL007088,GABPA,GA binding protein transcription factor subunit alpha
MOL007088,CDH1,cadherin 1
MOL007088,GLIS3,GLIS family zinc finger 3
MOL007088,CTNNB1,catenin beta 1
MOL007088,NOS2,nitric oxide synthase 2
MOL007088,ATG5,autophagy related 5
MOL007088,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007088,MSN,moesin
MOL007088,KRT17,keratin 17
MOL007088,KRAS,"KRAS proto-oncogene, GTPase"
MOL007088,HMOX1,heme oxygenase 1
MOL007088,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL007088,PAX5,paired box 5
MOL007088,MMP9,matrix metallopeptidase 9
MOL007088,CDK1,cyclin dependent kinase 1
MOL007088,GPX4,glutathione peroxidase 4
MOL007088,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
MOL007088,AR,androgen receptor
MOL007088,SOD1,superoxide dismutase 1
MOL007088,MAPK14,mitogen-activated protein kinase 14
MOL007088,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
MOL007088,MAP3K5,mitogen-activated protein kinase kinase kinase 5
MOL007088,ESR1,estrogen receptor 1
MOL007088,AKT1,AKT serine/threonine kinase 1
MOL007088,NFKBIA,NFKB inhibitor alpha
MOL007088,OLR1,oxidized low density lipoprotein receptor 1
MOL007088,IL17A,interleukin 17A
MOL007088,SIRT1,sirtuin 1
MOL007088,SOD3,superoxide dismutase 3
MOL007088,ADIPOQ,"adiponectin, C1Q and collagen domain containing"
MOL007088,BAX,"BCL2 associated X, apoptosis regulator"
MOL007088,MAPK1,mitogen-activated protein kinase 1
MOL007088,STAT3,signal transducer and activator of transcription 3
MOL007088,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
MOL007088,BRD2,bromodomain containing 2
MOL007088,ACTA2,"actin alpha 2, smooth muscle"
MOL007088,SMAD3,SMAD family member 3
MOL007088,SMAD2,SMAD family member 2
MOL007088,TAFAZZIN,"tafazzin, phospholipid-lysophospholipid transacylase"
MOL007088,CYP17A1,cytochrome P450 family 17 subfamily A member 1
MOL007088,CDH2,cadherin 2
MOL007088,MTOR,mechanistic target of rapamycin kinase
MOL007088,PPARGC1A,PPARG coactivator 1 alpha
MOL007088,IL6,interleukin 6
MOL007088,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1
MOL007088,MAPK8,mitogen-activated protein kinase 8
MOL007088,CCNA2,cyclin A2
MOL007088,BECN1,beclin 1
MOL007088,TNF,tumor necrosis factor
MOL007088,APP,amyloid beta precursor protein
MOL007088,TGFB1,transforming growth factor beta 1
MOL007088,SQSTM1,sequestosome 1
MOL007088,VIM,vimentin
MOL007088,MAPK9,mitogen-activated protein kinase 9
MOL007088,AKT2,AKT serine/threonine kinase 2
MOL007088,KRT16,keratin 16
MOL007088,PARP1,poly(ADP-ribose) polymerase 1
MOL007050,AR,androgen receptor
MOL007050,CCNA2,cyclin A2
MOL007050,CDK2,cyclin dependent kinase 2
MOL007050,CHEK1,checkpoint kinase 1
MOL007050,MAPK14,mitogen-activated protein kinase 14
MOL007050,ESR1,estrogen receptor 1
MOL007050,ESR2,estrogen receptor 2
MOL007050,GSK3B,glycogen synthase kinase 3 beta
MOL007050,NOS2,nitric oxide synthase 2
MOL007050,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007050,PPARG,peroxisome proliferator activated receptor gamma
MOL007069,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007069,ADRA1D,adrenoceptor alpha 1D
MOL007069,ADRA1A,adrenoceptor alpha 1A
MOL007069,ADRB2,adrenoceptor beta 2
MOL007069,AR,androgen receptor
MOL007069,CA2,carbonic anhydrase 2
MOL007069,CCNA2,cyclin A2
MOL007069,CDK2,cyclin dependent kinase 2
MOL007069,CHEK1,checkpoint kinase 1
MOL007069,CHRM1,cholinergic receptor muscarinic 1
MOL007069,CHRM2,cholinergic receptor muscarinic 2
MOL007069,CHRM3,cholinergic receptor muscarinic 3
MOL007069,CHRM4,cholinergic receptor muscarinic 4
MOL007069,CHRM5,cholinergic receptor muscarinic 5
MOL007069,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007069,MAPK14,mitogen-activated protein kinase 14
MOL007069,DPP4,dipeptidyl peptidase 4
MOL007069,DRD1,dopamine receptor D1
MOL007069,ESR1,estrogen receptor 1
MOL007069,ESR2,estrogen receptor 2
MOL007069,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL007069,GSK3B,glycogen synthase kinase 3 beta
MOL007069,NOS2,nitric oxide synthase 2
MOL007069,OPRD1,opioid receptor delta 1
MOL007069,OPRM1,opioid receptor mu 1
MOL007069,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007069,PTGS1,prostaglandin-endoperoxide synthase 1
MOL007069,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007069,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007069,NCOA1,nuclear receptor coactivator 1
MOL007059,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007059,ADRA1D,adrenoceptor alpha 1D
MOL007059,ADRA1A,adrenoceptor alpha 1A
MOL007059,ADRB2,adrenoceptor beta 2
MOL007059,AR,androgen receptor
MOL007059,CA2,carbonic anhydrase 2
MOL007059,CCNA2,cyclin A2
MOL007059,CDK2,cyclin dependent kinase 2
MOL007059,CHEK1,checkpoint kinase 1
MOL007059,CHRM1,cholinergic receptor muscarinic 1
MOL007059,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007059,MAPK14,mitogen-activated protein kinase 14
MOL007059,DPP4,dipeptidyl peptidase 4
MOL007059,DRD1,dopamine receptor D1
MOL007059,ESR1,estrogen receptor 1
MOL007059,ESR2,estrogen receptor 2
MOL007059,GSK3B,glycogen synthase kinase 3 beta
MOL007059,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
MOL007059,NOS2,nitric oxide synthase 2
MOL007059,OPRD1,opioid receptor delta 1
MOL007059,OPRM1,opioid receptor mu 1
MOL007059,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007059,PPARG,peroxisome proliferator activated receptor gamma
MOL007059,PRSS1,serine protease 1
MOL007059,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007059,RXRA,retinoid X receptor alpha
MOL007059,NCOA1,nuclear receptor coactivator 1
MOL007068,AR,androgen receptor
MOL007068,CCNA2,cyclin A2
MOL007068,CDK2,cyclin dependent kinase 2
MOL007068,CHEK1,checkpoint kinase 1
MOL007068,MAPK14,mitogen-activated protein kinase 14
MOL007068,DPP4,dipeptidyl peptidase 4
MOL007068,ESR1,estrogen receptor 1
MOL007068,ESR2,estrogen receptor 2
MOL007068,GSK3B,glycogen synthase kinase 3 beta
MOL007068,NOS2,nitric oxide synthase 2
MOL007068,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007068,PPARG,peroxisome proliferator activated receptor gamma
MOL007068,PRSS1,serine protease 1
MOL007068,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007068,RXRA,retinoid X receptor alpha
MOL007068,NCOA1,nuclear receptor coactivator 1
MOL007058,AR,androgen receptor
MOL007058,CCNA2,cyclin A2
MOL007058,CDK2,cyclin dependent kinase 2
MOL007058,CHEK1,checkpoint kinase 1
MOL007058,MAPK14,mitogen-activated protein kinase 14
MOL007058,DPP4,dipeptidyl peptidase 4
MOL007058,ESR1,estrogen receptor 1
MOL007058,ESR2,estrogen receptor 2
MOL007058,GSK3B,glycogen synthase kinase 3 beta
MOL007058,NOS2,nitric oxide synthase 2
MOL007058,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007058,PPARG,peroxisome proliferator activated receptor gamma
MOL007058,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007058,RXRA,retinoid X receptor alpha
MOL007058,NCOA1,nuclear receptor coactivator 1
MOL007064,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007064,AR,androgen receptor
MOL007064,DPP4,dipeptidyl peptidase 4
MOL007064,ESR1,estrogen receptor 1
MOL007064,NR3C1,nuclear receptor subfamily 3 group C member 1
MOL007064,NR3C2,nuclear receptor subfamily 3 group C member 2
MOL007064,NOS2,nitric oxide synthase 2
MOL007064,PGR,progesterone receptor
MOL007064,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007064,NCOA1,nuclear receptor coactivator 1
MOL007064,NCOA2,nuclear receptor coactivator 2
MOL007155,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007155,ADRA1D,adrenoceptor alpha 1D
MOL007155,ADRA1A,adrenoceptor alpha 1A
MOL007155,ADRB2,adrenoceptor beta 2
MOL007155,AR,androgen receptor
MOL007155,CCNA2,cyclin A2
MOL007155,CDK2,cyclin dependent kinase 2
MOL007155,CHEK1,checkpoint kinase 1
MOL007155,CHRM1,cholinergic receptor muscarinic 1
MOL007155,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007155,DPP4,dipeptidyl peptidase 4
MOL007155,ESR1,estrogen receptor 1
MOL007155,ESR2,estrogen receptor 2
MOL007155,GSK3B,glycogen synthase kinase 3 beta
MOL007155,NOS2,nitric oxide synthase 2
MOL007155,OPRD1,opioid receptor delta 1
MOL007155,OPRM1,opioid receptor mu 1
MOL007155,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007155,PPARG,peroxisome proliferator activated receptor gamma
MOL007155,PRSS1,serine protease 1
MOL007155,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007155,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL007155,NCOA1,nuclear receptor coactivator 1
MOL007079,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007079,ADRB2,adrenoceptor beta 2
MOL007079,AR,androgen receptor
MOL007079,CCNA2,cyclin A2
MOL007079,CDK2,cyclin dependent kinase 2
MOL007079,CHEK1,checkpoint kinase 1
MOL007079,CHRM1,cholinergic receptor muscarinic 1
MOL007079,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL007079,DPP4,dipeptidyl peptidase 4
MOL007079,DRD1,dopamine receptor D1
MOL007079,ESR1,estrogen receptor 1
MOL007079,ESR2,estrogen receptor 2
MOL007079,GSK3B,glycogen synthase kinase 3 beta
MOL007079,NOS2,nitric oxide synthase 2
MOL007079,OPRD1,opioid receptor delta 1
MOL007079,OPRM1,opioid receptor mu 1
MOL007079,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL007079,PPARG,peroxisome proliferator activated receptor gamma
MOL007079,PRSS1,serine protease 1
MOL007079,PTGS2,prostaglandin-endoperoxide synthase 2
MOL007079,NCOA1,nuclear receptor coactivator 1
MOL007070,ACHE,acetylcholinesterase (Cartwright blood group)
MOL007070,AR,androgen receptor
MOL007070,CA2,carbonic anhydrase 2
MOL007070,CCNA2,cyclin A2
MOL007070,CDK2,cyclin dependent kinase 2
